category,ticker ,                 company ,,,,,,,,,,,,,,,,,,,
JETS,DAL,Delta Air Lines Inc,,,,,,,,,,,,,,,,,,,
JETS,AAL,American Airlines Group Inc,,,,,,,,,,,,,,,,,,,
JETS,LUV,Southwest Airlines Co,,,,,,,,,,,,,,,,,,,
JETS,UAL,United Airlines Holdings Inc,,,,,,,,,,,,,,,,,,,
XLK,MSFT,Microsoft Corporation ,,,,,,,,,,,,,,,,,,,
XLK,AAPL,Apple Inc,,,,,,,,,,,,,,,,,,,
XLK,V,Visa Inc,,,,,,,,,,,,,,,,,,,
XLK,INTC,Intel Corporation,,,,,,,,,,,,,,,,,,,
VPU,NEE,NextEra Energy Inc,,,,,,,,,,,,,,,,,,,
VPU,D,Dominion Energy Inc,,,,,,,,,,,,,,,,,,,
VPU,DUK,Duke Energy Corporation ,,,,,,,,,,,,,,,,,,,
VPU,SO,The Southern Company,,,,,,,,,,,,,,,,,,,
XLC,FB,Facebook Inc,,,,,,,,,,,,,,,,,,,
XLC,GOOG,Alphabet Inc (Class C),,,,,,,,,,,,,,,,,,,
XLC,GOOGL,Alphabet Inc  (Class A),,,,,,,,,,,,,,,,,,,
XLC,TMUS,T-Mobile US Inc,,,,,,,,,,,,,,,,,,,
AWAY,UBER,Uber Technologies Inc,,,,,,,,,,,,,,,,,,,
AWAY,BKNG,Booking Holdings Inc,,,,,,,,,,,,,,,,,,,
AWAY,LYFT,Lyft Inc,,,,,,,,,,,,,,,,,,,
AWAY,TCOM,Trip.com Group Limited ,,,,,,,,,,,,,,,,,,,
MISC,ZM,Zoom Video Communications Inc,,,,,,,,,,,,,,,,,,,
